
1491400802
PING 104.16.62.3 (104.16.62.3) 56(84) bytes of data.
64 bytes from 104.16.62.3: icmp_seq=1 ttl=53 time=6.57 ms
64 bytes from 104.16.62.3: icmp_seq=2 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=3 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=4 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=5 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=6 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=7 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=8 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=9 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=10 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=11 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=12 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=13 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=14 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=15 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=16 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=17 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=18 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=19 ttl=53 time=6.49 ms
64 bytes from 104.16.62.3: icmp_seq=20 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=21 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=22 ttl=53 time=6.97 ms
64 bytes from 104.16.62.3: icmp_seq=23 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=24 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=25 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=26 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=27 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=28 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=29 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=30 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=31 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=32 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=33 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=34 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=35 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=36 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=37 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=38 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=39 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=40 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=41 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=42 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=43 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=44 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=45 ttl=53 time=6.61 ms
64 bytes from 104.16.62.3: icmp_seq=46 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=47 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=48 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=49 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=50 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=51 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=52 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=53 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=54 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=55 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=56 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=57 ttl=53 time=6.35 ms
64 bytes from 104.16.62.3: icmp_seq=58 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=59 ttl=53 time=6.45 ms
64 bytes from 104.16.62.3: icmp_seq=60 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=61 ttl=53 time=6.41 ms
64 bytes from 104.16.62.3: icmp_seq=62 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=63 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=64 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=65 ttl=53 time=6.40 ms
64 bytes from 104.16.62.3: icmp_seq=66 ttl=53 time=6.47 ms
64 bytes from 104.16.62.3: icmp_seq=67 ttl=53 time=6.38 ms
64 bytes from 104.16.62.3: icmp_seq=68 ttl=53 time=6.47 ms
64 bytes from 104.16.62.3: icmp_seq=69 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=70 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=71 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=72 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=73 ttl=53 time=6.42 ms
64 bytes from 104.16.62.3: icmp_seq=74 ttl=53 time=6.44 ms
64 bytes from 104.16.62.3: icmp_seq=75 ttl=53 time=6.37 ms
64 bytes from 104.16.62.3: icmp_seq=76 ttl=53 time=6.43 ms
64 bytes from 104.16.62.3: icmp_seq=77 ttl=53 time=6.39 ms
64 bytes from 104.16.62.3: icmp_seq=78 ttl=53 time=6.40 ms
